Teams,Franchise value in million U.S. dollars
New York Yankees,4600
Los Angeles Dodgers,3300
Boston Red Sox,3200
Chicago Cubs,3100
San Francisco Giants,3000
New York Mets,2300
St. Louis Cardinals,2100
Los Angeles Angels,1900
Philadelphia Phillies,1850
Houston Astros,1775
Washington Nationals,1750
Atlanta Braves,1700
Texas Rangers,1650
Chicago White Sox,1600
Seattle Mariners,1575
Toronto Blue Jays,1500
San Diego Padres,1350
Arizona Diamondbacks,1290
Baltimore Orioles,1280
Pittsburgh Pirates,1275
Detroit Tigers,1250
Colorado Rockies,1225
Minnesota Twins,1200
Milwaukee Brewers,1175
Cleveland Indians,1150
Oakland Athletics,1100
Cincinnati Reds,1050
Kansas City Royals,1025
Tampa Bay Rays,1010
Miami Marlins,1000
