Year,GDP per capita in U.S. dollars
2024*,13316.36
2023*,12445.46
2022*,11650.9
2021*,10887.5
2020*,10133.07
2019*,9518.44
2018,9313.83
2017,8275.44
2016,7496.08
2015,7017.41
2014,7888.56
2013,7667.59
2012,7399.39
2011,7836.58
2010,6743.74
2009,6859.68
2008,7152.79
2007,5812.68
2006,4444.51
2005,3839.45
2004,3344.62
2003,2689.77
2002,2074.58
2001,1783.72
2000,1613.94
1999,1673.66
1998,1631.94
1997,1228.13
1996,1153.87
1995,1511.49
1994,892.19
1993,501.48
1992,913.31
1991,222.71
1990,2253.9
1989,5079.81
1988,4965.9
1987,3030.63
1986,2611.0
1985,2949.18
1984,3446.96
