Table Tennis Players,Number of ranking points
Yuling Zhu (China),16524
Shiwen Liu (China),15669
Meng Chen (China),15294
Kasumi Ishikawa (Japan),15135
Manyu Wang (China),15105
Ning Ding (China),14784
Mima Ito (Japan),13910
I-Ching Cheng (Chinese Taipei),13231
Miu Hirano (Japan),13193
Xingtong Chen (China),12708
Tianwei Feng (Singapore),12565
Hyowon Suh (Korea),11954
Hoi Kem Doo (Hong Kong),11940
Hitomi Sato (Japan),11898
Yuting Gu (China),11607
Saki Shibata (Japan),10851
Sofia Polcanova (Austria),10618
Jie Li (Netherlands),10406
Ho Ching Lee (Hong Hong),10395
Elizabeta Samara (Romania),10063
