Year,GDP per capita in U.S. dollars
2024*,57071.6
2023*,54608.46
2022*,52269.46
2021*,50066.62
2020*,47931.46
2019*,46212.84
2018,46290.22
2017,45217.03
2016,42439.65
2015,43626.43
2014,51020.69
2013,52726.05
2012,52753.35
2011,52271.54
2010,47625.0
2009,40934.5
2008,46775.92
2007,44714.78
2006,40557.36
2005,36428.39
2004,32182.89
2003,28337.81
2002,24294.89
2001,23860.72
2000,24301.11
1999,22339.86
1998,21046.89
1997,21929.49
1996,21325.81
1995,20706.12
1994,20024.77
1993,20210.34
1992,20984.36
1991,21885.37
1990,21571.68
1989,20841.74
1988,19040.79
1987,16407.77
1986,14539.23
1985,14185.97
1984,13947.17
