List of jobs,Divorce rate
Maids and housekeeping cleaners,26.38%
Roofers,26.85%
Waiters/Waitresses,27.12%
Telemarketers,28.1%
Baggage porters and concierges,28.49%
"Entertainers and performers, sports and related workers",28.49%
"Nursing, psychiatric and home health aides",28.95%
Telephone operators,29.3%
Factory workers: Food & Tobacco,29.78%
Gaming service worker,31.35%
Extruding machine operator,32.74%
Gaming cage worker,34.66%
Massage therapists,38.22%
Bartenders,38.43%
Dancers & Choreographers,43.05%
