Project Name,Time to raise 1 million U.S. dollars in hours.minutes
Kingdom Death: Monster 1.5 (2016),0.19
Pebble Time (2015),0.49
Shenmue 3 (2015),1.44
Reaper Miniature Bones II (2013),2.42
The Veronica Mars Movie Project (2013),4.24
Yooka-Laylee (2015),5.55
Torment: Tides of Numenera (2013),7.0
OUYA (2012),8.22
Bring back LeVar Burton's Reading Rainbow (2014),11.0
Double Fine Adventure (2012)*,17.3
The Micro: The First Truly Consumer 3D Printer (2014),25.0
Project Eternity (2012)*,27.0
Pebble Watch (2012),27.0
