Operator,Number of offshore rigs
Pemex (NOC),45
Saudi Aramco (NOC),44
ONGC (NOC),41
Petrobras (NOC),35
Statoil,34
BP,33
Shell,30
CNOOC (NOC),24
ADNOC Offshore (NOC),20
Chevron,17
ExxonMobil,15
Total,15
PDVSA (NOC),14
Petronas Carigali (NOC),12
ConocoPhillips,12
Chernomorneftegaz,12
Eni,11
Socar (NOC),10
Talisman,8
Pars Oil & Gas (NOC),8
VietSovPetro,7
Anadarko,6
IOOC (NOC),6
Petrobel (NOC),6
Maersk Oil,5
Lundin Petroleum,5
Marathon,4
Qatar Petroleum (NOC),4
Sinopec,4
Wintershall,4
Hess Corp.,4
Gazflot (NOC),3
Dragon Oil,3
Apache,3
CNR International,3
PTTEP (NOC),3
Dubai Petroleum (NOC),3
ADNOC Offshore (NOC)/ ADNOC Drilling,3
Woodside Petroleum,3
ENGIE E&P,2
EnVen Energy,2
Hibernia Mgmt & Dev. CO.,2
Pertamina Hulu Energi ONWJ,2
Repsol,2
GPC,2
IOEC,2
Arena,2
Gupco (NOC),2
Sakhalin Energy Invest. Co.,2
AIOC,2
ADOC (NOC),2
RasGas,2
Freeport-McMoRan,2
EnQuest PLC,2
Mubadala Petroleum,2
Shanghai Petroleum Co.,2
W&T Offshore,2
Sakhalin Energy,2
ShengLi Offshore,2
TAQA Bratani,2
Petropars,1
Pan American Energy,1
Fairfield Energy,1
Operator Undisclosed,1
Furie Operating Alaska LLC,1
Premier Oil,1
Wapiti Operating,1
KazMunayGas,1
Cabinda Gulf,1
Kosmos Energy,1
LLOG Exploration,1
OMV,1
North Oil Co,1
EOG Resources,1
Bundug Oil,1
KrisEnergy,1
Mellitah Oil & Gas,1
Mossgas,1
Black Sea Oil & Gas,1
NAM,1
Nexen,1
Niko Resources,1
NIOC (NOC),1
EnergyQuest,1
Norsk Hydro,1
Energean Oil & Gas SA,1
Occidental,1
Enap,1
OMV Petrom,1
Suncor Energy,1
Oranje Nassau Energie,1
Hilcorp Energy,1
Aera Energy,1
Petronas (NOC),1
Petrobaltic,1
Ineos,1
Shengli Petroleum Engr Company,1
GoMex Energy Offshore,1
Emirates National Oil Co (ENOC),1
Fanpetco,1
Statoil (pre-merger),1
Stone Energy,1
Amapetco,1
Erin Energy,1
Bahrain Petroleum Co (Bapco)/ Schumberger D&C,1
Energy XXI,1
Shatskmorneftegaz,1
Sapura Energy Berhad,1
Cox Operating,1
Abu Qir Petroleum,1
Saka Energi,1
AKER BP,1
Deep Gulf Energy,1
Elcrest,1
Pertamina Hulu Energi WMO,1
Renaissance Offshore,1
Perenco,1
Petrozenima,1
CPOC,1
Cairn Energy,1
CNPC (NOC),1
Conoil,1
Walter O&G,1
Byron Energy,1
CNOOC (NOC)/SK Innovation,1
Centrica,1
JAMSTEC,1
Caspian Oil,1
KNOC (NOC),1
Spirit Energy,1
National Drilling,1
Topic SA,1
BHP Biliton,1
BW Energy,1
Inpex,1
IPC,1
Husky Oil,1
Whintney O&G,1
