Year,GDP in billion U.S. dollars
2024*,777.24
2023*,729.84
2022*,685.94
2021*,645.42
2020*,606.73
2019*,565.85
2018,585.82
2017,526.75
2016,471.84
2015,477.57
2014,545.28
2013,524.4
2012,500.85
2011,528.57
2010,479.16
2009,440.14
2008,533.8
2007,429.47
2006,344.76
2005,306.15
2004,255.28
2003,217.51
2002,198.68
2001,190.43
2000,171.28
1999,167.8
1998,172.05
1997,157.18
1996,156.68
1995,139.09
1994,103.68
1993,90.37
1992,88.71
1991,80.45
1990,62.08
1989,66.9
1988,68.61
1987,63.71
1986,73.68
1985,70.78
1984,75.51
