Twitter Profiles,Twitter followers in millions
NBA*,26.49
Los Angeles Lakers,7.39
Golden State Warriors,5.63
Miami Heat,4.68
Chicago Bulls,4.09
San Antonio Spurs,3.32
Boston Celtics,3.21
Cleveland Cavaliers,3.16
Oklahoma City Thunder,2.55
Houston Rockets,2.54
New York Knicks,2.07
Orlando Magic,1.59
Toronto Raptors*,1.5
Dallas Mavericks,1.48
Philadelphia 76ers,1.46
Los Angeles Clippers,1.37
Atlanta Hawks,1.19
Portland Trailblazers,1.13
Indiana Pacers,1.11
Phoenix Suns,0.99
Sacramento Kings,0.96
Memphis Grizzlies,0.92
Brooklyn Nets,0.88
Charlotte Hornets,0.88
Milwaukee Bucks,0.87
Minnesota Timberwolves,0.85
Washington Wizards,0.85
Detroit Pistons,0.85
New Orleans Pelicans,0.8
Utah Jazz,0.79
Denver Nuggets,0.79
