12 week period ending,Percentage growth (year-on-year)
14 Jul 19,-1.9%
16 Jun 19,-
21 Apr 19,0.7%
24 Mar 19,1.3%
24 Feb 19,1%
28 Jan 19,0.2%
30 Dec 18,-1.7%
2 Dec 18,-0.7%
6 Nov 18,-0.1%
8 Oct 18,0.1%
10 Sep 18,0.8%
13 Aug 18,2.4%
15 Jul 18,2.8%
17 Jun 18,0.1%
22 Apr 18,0.2%
25 Mar 18,1.5%
25 Feb 18,2.3%
28 Jan 18,1.5%
31 Dec 17,2.3%
3 Dec 17,1.6%
8 Oct 17,2.3%
10 Sep 17,2.4%
13 Aug 17,2.8%
16 Jul 17,2.8%
18 Jun 17,5.3%
21 May 17,3.3%
23 Apr 17,3.1%
26 Mar 17,0.3%
26 Feb 17,2.9%
29 Jan 17,3.4%
1 Jan 17,3%
4 Dec 16,1.1%
6 Nov 16,3%
9 Oct 16,3.5%
11 Sep 16,3.4%
14 Aug 16,1.4%
17 Jul 16,1.6%
19 Jun 16,1.3%
22 May 16,2.1%
24 Apr 16,1.5%
27 Mar 16,1.7%
31 Jan 16,0.1%
3 Jan 16,1.5%
6 Dec 15,2.7%
8 Nov 15,2.7%
11 Oct 15,2.1%
13 Sept 15,2.9%
16 Aug 15,3.7%
19 Jul 15,3%
