Year,GDP per capita in U.S. dollars
2024*,20572.77
2023*,19289.98
2022*,18107.91
2021*,17021.1
2020*,15988.04
2019*,14901.55
2018,15425.68
2017,13871.68
2016,12427.65
2015,12565.74
2014,14342.83
2013,13777.3
2012,13158.07
2011,13886.83
2010,12601.92
2009,11541.35
2008,14004.76
2007,11264.72
2006,9035.26
2005,8019.77
2004,6684.46
2003,5691.34
2002,5195.28
2001,4978.05
2000,4476.25
1999,4339.6
1998,4450.33
1997,4067.96
1996,4058.18
1995,3605.16
1994,2687.41
1993,2347.12
1992,2311.09
1991,2101.35
1990,1625.84
1989,1768.61
1988,1815.82
1987,1687.8
1986,1961.68
1985,1896.08
1984,2038.03
