Year,Gross domestic product in billion U.S. dollars
2024*,511.65
2023*,483.88
2022*,457.45
2021*,433.17
2020*,410.5
2019*,387.72
2018,370.59
2017,353.25
2016,318.95
2015,299.81
2014,309.56
2013,292.92
2012,257.44
2011,261.72
2010,233.73
2009,207.45
2008,215.96
2007,178.74
2006,153.98
2005,142.41
2004,135.34
2003,126.81
2002,121.04
2001,130.67
2000,132.24
1999,117.01
1998,115.86
1997,114.62
1996,109.86
1995,100.24
1994,84.38
1993,73.92
1992,73.55
1991,65.82
1990,58.02
1989,49.17
1988,48.33
1987,39.01
1986,32.66
1985,26.53
1984,28.55
