Month,Payroll in thousand U.S. dollars
Zlatan Ibrahimovic,7200.0
Jonathan dos Santos,2000.0
Romain Alessandrini,1940.0
Jorgen Skjelvik,1066.67
Diego Polenta,777.28
Giancarlo Gonzalez Castro,719.58
Favio Alvarez,586.25
Joe Corona,550.0
Perry Kitchen,474.17
Uriel Antuna,420.0
David Bingham,375.0
Sebastian Lletget,312.67
Joao Pedro,261.0
Rolf Feltscher,242.65
Chris Pontius,190.0
Emmanuel Boateng,185.0
Juninho,163.13
Daniel Steres,155.5
Tomas Hilliard-Arce,123.13
Dave Romney,118.95
Hugo Arellano,90.07
Julian Araujo,86.25
Ethan Zubak,78.13
Bradford Jamieson,76.4
Efrain Alvarez,75.61
Emil Cuello,70.25
Matt Lampson,70.25
Servando Carrasco,70.25
Justin Vom Steeg,57.23
Diedie Traore,56.25
