Year,Inflation rate compared to previous year
2024*,2.02%
2023*,2.02%
2022*,2.02%
2021*,2.02%
2020*,1.94%
2019*,1.44%
2018,1.6%
2017,1.85%
2016,0.64%
2015,0.31%
2014,1.22%
2013,1.13%
2012,1.03%
2011,4.08%
2010,2.26%
2009,2.16%
2008,3.93%
2007,2.39%
2006,3.36%
2005,3.04%
2004,2.31%
2003,1.73%
2002,2.65%
2001,2.65%
2000,2.61%
1999,-0.11%
1998,1.26%
1997,1.17%
1996,2.31%
1995,3.75%
1994,1.71%
1993,1.32%
1992,1%
1991,2.65%
1990,6.06%
1989,5.69%
1988,6.35%
1987,15.76%
1986,13.22%
1985,15.38%
1984,6.13%
