Month,Payroll in thousand U.S. dollars
Mauro Manotas,1245.05
"Aljaz ""Kiki"" Struna",1210.0
Alberth Elis,650.34
Romell Quioto,556.5
Tomas Martinez,386.8
Darwin Ceren,349.38
Adam Lundkvist,303.75
Juan Cabezas,292.01
DaMarcus Beasley,275.0
AJ DeLaGarza,253.75
Ronaldo Pena,250.0
Matias Gabriel Vera,231.25
Oscar Boniek Garcia,183.0
Joe Willis,172.83
Alejandro Fuenmayor,172.51
Tyler Deric,167.5
Thomas McNamara,165.0
Chris Duvall,160.0
Marlon Hairston,155.0
Memo Rodriguez,82.75
Erik McCue,76.25
Kevin Garcia,72.36
Eric Bird,70.88
Maynor Figueroa,70.25
Michael Nelson,57.23
Sam Junqua,56.25
