Year,Inflation rate compared to previous year
2024*,1.77%
2023*,1.64%
2022*,1.55%
2021*,1.43%
2020*,1.05%
2019*,0.68%
2018,1.68%
2017,1.96%
2016,-0.2%
2015,-0.5%
2014,-0.15%
2013,1.41%
2012,2.45%
2011,3.2%
2010,1.8%
2009,-0.29%
2008,4.08%
2007,2.79%
2006,3.52%
2005,3.37%
2004,3.04%
2003,3.04%
2002,3.1%
2001,3.59%
2000,3.48%
1999,2.24%
1998,1.76%
1997,1.88%
1996,3.6%
1995,4.67%
1994,4.72%
1993,4.57%
1992,7.15%
1991,5.93%
1990,6.72%
1989,6.79%
1988,4.84%
1987,5.25%
1986,8.8%
1985,8.82%
1984,11.28%
