Year,Inflation rate compared to previous year
2024*,3.7%
2023*,3.7%
2022*,3.7%
2021*,3.7%
2020*,3.7%
2019*,3.45%
2018,3.98%
2017,3.6%
2016,4.09%
2015,3.13%
2014,5.03%
2013,2.66%
2012,3.69%
2011,8.24%
2010,4.64%
2009,2.61%
2008,10.19%
2007,8.14%
2006,9.57%
2005,6.82%
2004,4.31%
2003,14.24%
2002,10.47%
2001,7.31%
2000,8.98%
1999,6.75%
1998,11.55%
1997,6.95%
1996,9.8%
1995,13.39%
1994,20.6%
1993,18.28%
1992,15.11%
1991,24.28%
1990,38.16%
1989,25.59%
1988,22.59%
1987,21.66%
1986,31.7%
1985,24.85%
1984,20.94%
