Year,Inflation rate compared to previous year
2024*,5.9%
2023*,7.9%
2022*,10.34%
2021*,13.33%
2020*,17.14%
2019*,17.58%
2018,12.89%
2017,14.74%
2016,13.38%
2015,7.52%
2014,3.94%
2013,6.78%
2012,6.78%
2011,7.39%
2010,4.14%
2009,3.43%
2008,14.38%
2007,8.96%
2006,14.21%
2005,16.76%
2004,28.32%
2003,26.73%
2002,9.36%
2001,16.49%
2000,11.46%
1999,8.13%
1998,12.72%
1997,16.18%
1996,20.58%
1995,30.2%
1994,42.56%
1993,22.56%
1992,19.36%
1991,15.42%
1990,21.28%
1989,6.92%
1988,4.11%
1987,-11.45%
1986,3.28%
1985,10.65%
1984,6.4%
