Industry,Average salary in SEK
Financial institutions and insurance companies,51700
Information and communication companies,45100
"Professional, scientific and technical companies",42800
"Electricity, gas, steam and hot water plants",42600
Mines and quarries,39900
Real estate companies,37200
Public authorities and national defence,37000
Manufacturing industry,36600
Construction industry,35500
Trade; repair establishments for motor vehicles and motorcycles,34100
"Water works; sewage plants, waste-disposal plants",33800
Other service companies,32200
Human health and social work establishments,31800
Educational establishments,31800
Transport and storage companies,31300
Administrative and support service companies,30100
"Establishments for culture, entertainment and recreation",29800
"Companies in agriculture, forestry and fishing",28200
Hotels and restaurants,26100
