Country,Securities in billion U.S. dollars
Japan,1154.9
"China, Mainland",1069.9
United Kingdom,332.6
Brazil,281.9
Ireland,281.8
Luxembourg,254.6
Switzerland,237.5
Cayman Islands,230.5
Hong Kong,223.3
Belgium,210.2
Taiwan,193.1
Saudi Arabia,179.8
India,162.0
Singapore,147.9
France,127.5
Korea,122.0
Canada,110.9
Thailand,90.5
Norway,90.1
Germany,78.3
Bermuda,71.3
Netherlands,50.1
Sweden,48.7
Mexico,45.4
Italy,45.3
Spain,44.6
Kuwait,43.3
Israel,43.1
United Arab Emirates,40.7
Poland,38.8
Australia,38.2
Philippines,34.8
Iraq,32.9
Indonesia,32.2
Colombia,31.6
Chile,30.8
Vietnam,30.5
All Other,414.6
