Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",124.72
Professional and business services,95.46
"Educational services, health care, and social assistance",85.74
Manufacturing,83.94
Government and government enterprises,64.83
Information,54.92
Wholesale trade,41.56
Retail trade,35.98
Construction,25.91
Transportation and warehousing,25.11
"Mining, quarrying, and oil and gas extraction",23.55
"Arts, entertainment, recreation, accommodation, and food services",22.7
Utilities,11.54
"Agriculture, forestry, fishing, and hunting",4.13
