Response,Share of respondents
Clothes or sports goods,60%
"Household goods (eg furniture, toys etc)",49%
Holiday accommodation,44%
"Travel arrangements (eg transport tickets, car hire)",43%
Tickets for events,43%
"Films, music (including downloads)",39%
"Books, magazines, newspapers (including e-books and downloads)",34%
Food or groceries,34%
Electronic equipment (including cameras),29%
"Video games software, other computer software and upgrades (including downloads)",26%
Telecommunication services,22%
Computer hardware,16%
Medicine,14%
E-learning material,11%
