Month,Number of players in thousands
Jan '20,81.64
Dec '19,80.21
Nov '19,60.08
Oct '19,68.39
Sept '19,59.53
Aug '19,57.62
Jul '19,65.91
Jun '19,69.62
May '19,69.47
Apr '19,67.49
Mar '19,61.24
Feb '19,62.02
Jan '19,64.26
Dec '18,67.95
Nov '18,63.28
Oct '18,67.22
Sept '18,75.88
Aug '18,55.82
Jul '18,82.3
Jun '18,64.31
May '18,66.08
Aprl '18,60.63
Mar '18,63.58
Feb '18,62.49
Jan '18,60.54
Dec '17,65.28
Nov '17,60.12
Oct '17,73.68
Sept '17,70.23
Aug '17,52.61
Jul '17,68.23
Jun '17,64.08
May '17,82.25
Apr '17,65.38
Mar '17,74.33
Feb '17,61.65
Jan '17,69.67
Dec '16,70.35
Nov '16,55.53
Oct '16,59.53
Sept '16,79.3
Aug '16,48.14
Jul '16,58.68
Jun '16,55.03
May '16,58.21
Apr '16,102.68
Mar '16,45.88
Feb '16,50.36
Jan '16,46.11
