Occupation,Number of people employed
"Non-construction professional, technical, IT and other office based staff",388320
Wood trades and interior fit-out,263530
Other construction process managers,208050
Other construction professionals and technical staff,208050
Electrical trades and installation,188760
"Senior, executive and business process managers",184750
Plumbing and HVAC trades,166720
Labourers nec*,130010
Painters and decorators,112800
Building envelope specialists,108290
Surveyors,71920
Bricklayers,72240
Specialist building operatives nec*,58440
Civil engineers,56480
Plasterers,52100
Construction trades supervisors,49840
Construction project managers,49330
Roofers,46930
Architects,43630
Plant mechanics/fitters,42740
Plant operatives,41600
Non-construction operatives,36930
Glaziers,30840
Floorers,26150
Steel erectors/structural fabrication,24430
Logistics,24240
Scaffolders,23040
Civil engineering operatives nec*,22000
