Us City / Area,Consumer Price Index (100=1982-1984)
"San Diego-Carlsbad, CA",299.43
"San Francisco-Oakland-Hayward, CA",295.0
Urban Hawaii,281.59
"Boston-Cambridge-Newton, MA-NH",281.08
"New York-Newark-Jersey City, NY-NJ-PA",278.16
"Seattle-Tacoma-Bellevue, WA",277.98
"Los Angeles-Long Beach-Anaheim, CA",274.11
"Miami-Fort Lauderdale-West Palm Beach, FL",269.78
"Denver-Aurora-Lakewood, CO",267.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",264.78
"Baltimore-Columbia-Towson, MD",256.89
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",256.62
U.S. City Average,255.66
"Minneapolis-St.Paul-Bloomington, MN-WI",250.11
"Atlanta-Sandy Springs-Roswell, GA",243.73
"Chicago-Naperville-Elgin, IL-IN-WI",241.18
"Dallas-Fort Worth-Arlington, TX",237.73
"Detroit-Warren-Dearborn, MI",235.27
"St. Louis, MO-IL",231.19
"Houston-The Woodlands-Sugar Land, TX",228.8
Urban Alaska,228.68
"Tampa-St. Petersburg-Clearwater, FL",228.13
