Cause,Number of deaths
"Congenital malformations, deformations and chromosomal abnormalities",412
"Disorders related to short gestation and low birth weight, not elsewhere classified",171
Newborn affected by maternal complications of pregnancy,167
"Newborn affected by complications of placenta, cord and membranes",93
Complications of labor and delivery,65
Intrauterine hypoxia and birth asphyxia,51
Neonatal haemorrhages,49
Bacterial sepsis of newborn,47
Respiratory distress of newborn,19
Accidents (unintentional injuries),17
Diseases of the circulatory system,17
Sudden infant death syndrome,10
