Year,GDP per capita in U.S. dollars
2024*,48913.37
2023*,47204.93
2022*,45657.02
2021*,44132.79
2020*,42643.95
2019*,41760.61
2018,42953.27
2017,40108.92
2016,38348.51
2015,37937.86
2014,44616.46
2013,44145.23
2012,42371.12
2011,45410.1
2010,42181.58
2009,43176.39
2008,47191.13
2007,43059.91
2006,37793.81
2005,36082.12
2004,35004.53
2003,30675.37
2002,25113.25
2001,23240.84
2000,23207.84
1999,25549.7
1998,25818.37
1997,25028.47
1996,27720.86
1995,27741.29
1994,24262.18
1993,23082.72
1992,24590.75
1991,22406.39
1990,22490.29
1989,18236.77
1988,18241.0
1987,16793.96
1986,13947.32
1985,10108.56
1984,9697.43
