Year,GDP per capita in U.S. dollars
2024*,3768.01
2023*,4047.72
2022*,4055.39
2021*,4032.71
2020*,4039.1
2019*,3980.12
2018*,4080.91
2017,4012.13
2016,3918.94
2015,4153.32
2014,5466.33
2013,5477.06
2012,5574.51
2011,5453.89
2010,4480.72
2009,3886.06
2008,4943.5
2007,3986.56
2006,3508.96
2005,3141.03
2004,2636.31
2003,2128.39
2002,1806.86
2001,1768.58
2000,1794.7
1999,1630.07
1998,1633.09
1997,1658.73
1996,1643.27
1995,1499.14
1994,1542.97
1993,1894.95
1992,1873.42
1991,1819.98
1990,2473.51
1989,2127.87
1988,2143.74
1987,2705.11
1986,2698.92
1985,2753.7
1984,2432.72
