Department Name,Percentage change from 2017
Environmental Protection Agency,-31%
State Department,-29%
Agriculture Department,-21%
Labor Department,-21%
Department of Health and Human Services,-18%
Commerce Department,-16%
Education Department,-14%
Department of Housing and Urban Development,-13%
Transportation Department,-13%
Interior Department,-12%
Energy Department,-6%
Small Business Administration,-5%
Treasury Department,-4%
Justice Department,-4%
NASA,-1%
Department of Veterans Affairs,6%
Department of Homeland Security,7%
Defense Department,9%
