Year,Gross domestic product in billion U.S. dollars
2024*,108.99
2023*,103.26
2022*,97.24
2021*,92.6
2020*,88.98
2019*,91.53
2018,105.9
2017,122.12
2016,101.12
2015,116.19
2014,145.71
2013,136.71
2012,128.05
2011,111.79
2010,83.8
2009,70.31
2008,88.54
2007,65.27
2006,52.38
2005,36.97
2004,23.55
2003,17.81
2002,15.29
2001,10.93
2000,11.17
1999,7.53
1998,7.96
1997,9.39
1996,7.99
1995,6.2
1994,4.97
1993,6.82
1992,3.4
1991,12.19
1990,12.57
1989,11.42
1988,9.82
1987,9.05
1986,7.92
1985,8.46
1984,6.86
