Industry Sector,Share of responding businesses
Retail or wholesale (incl. online shops),19%
"Professional services (e.g., financial services, consulting, travel agents, business services)",10%
Restaurant/café or other food services,11%
"Personal services (e.g. beauty and wellness, repair of household goods)",5%
"Media, communication or information (e.g., broadcasting, telecoms, computer programming)",11%
"Arts, entertainment or recreation (e.g., museum, creative arts, sports club)",8%
Construction or home repair,4%
Manufacturing,4%
"Education (e.g., schools, tutoring, driving school)",3%
"Healthcare (e.g., dentist, senior care)",3%
"Accommodation (e.g., hotels, camping grounds)",5%
"Real estate (e.g., brokerage, leasing, management)",1%
Automotive repair or services,2%
Non-profit/charity organization,1%
"Transportation or storage (e.g., taxi, warehousing)",1%
Other,13%
