Year,Gross domestic product in billion U.S. dollars
2024*,440.83
2023*,420.04
2022*,401.19
2021*,383.83
2020*,369.63
2019*,362.82
2018,364.14
2017,338.4
2016,318.06
2015,308.0
2014,314.86
2013,305.16
2012,291.61
2011,276.62
2010,236.42
2009,192.41
2008,192.23
2007,179.98
2006,147.79
2005,127.42
2004,114.19
2003,97.0
2002,91.94
2001,89.29
2000,95.84
1999,86.29
1998,85.71
1997,100.16
1996,96.4
1995,87.89
1994,73.78
1993,60.65
1992,52.16
1991,45.47
1990,38.9
1989,31.39
1988,26.52
1987,21.61
1986,18.76
1985,18.56
1984,19.55
