Year,Gross domestic product in billion U.S. dollars
2024*,579.62
2023*,557.18
2022*,518.66
2021*,481.84
2020*,443.25
2019*,445.47
2018,519.49
2017,642.93
2016,556.77
2015,642.46
2014,563.61
2013,611.47
2012,579.67
2011,527.64
2010,424.73
2009,334.63
2008,363.55
2007,287.92
2006,232.89
2005,199.27
2004,164.92
2003,138.15
2002,108.73
2001,291.74
2000,308.49
1999,307.67
1998,324.24
1997,317.55
1996,295.12
1995,280.08
1994,279.15
1993,256.37
1992,247.99
1991,205.52
1990,153.21
1989,88.57
1988,138.04
1987,117.85
1986,114.95
1985,95.59
1984,126.56
