Country,Index value in points
Switzerland,91.19
Netherlands,90.71
Belgium,90.59
Sweden,89.93
United Kingdom,89.84
Austria,88.85
Germany,88.6
Denmark,88.26
Finland,87.7
France,87.25
Norway,86.17
Spain,85.7
Czech Republic,85.6
Hungary,84.98
Portugal,84.72
Canada,84.64
Ireland,84.47
Estonia,83.77
Slovak Republic,83.72
Singapore,83.62
Luxembourg,83.6
Italy,83.37
United States,82.41
Greece,82.38
Australia,81.99
Malaysia,81.49
Croatia,81.42
Lithuania,81.34
Poland,81.33
Slovenia,81.14
Bulgaria,80.78
Latvia,80.57
Romania,79.74
"Korea, Rep.",79.29
Cyprus,79.14
Serbia,78.98
Japan,78.59
New Zealand,78.34
Malta,77.79
Chile,77.74
Israel,76.82
Georgia,75.55
United Arab Emirates,74.95
Qatar,74.88
Ukraine,74.83
Jordan,73.99
Uruguay,73.33
Panama,72.99
Mexico,72.56
Mauritius,72.47
