Year,Inflation rate compared to previous year
2024*,1.1%
2023*,1.17%
2022*,1.36%
2021*,1.71%
2020*,1.24%
2019*,0.38%
2018,-0.22%
2017,0.42%
2016,1.73%
2015,3.97%
2014,3.59%
2013,2.72%
2012,5.1%
2011,4.48%
2010,3.55%
2009,5.16%
2008,8.4%
2007,2.28%
2006,3.3%
2005,2.17%
2004,2.74%
2003,7.93%
2002,12.49%
2001,37.67%
2000,96.1%
1999,52.2%
1998,36.1%
1997,30.6%
1996,24.4%
1995,22.89%
1994,27.44%
1993,45%
1992,54.34%
1991,48.8%
1990,48.52%
1989,75.65%
1988,58.22%
1987,29.5%
1986,23.03%
1985,27.98%
1984,31.23%
