MLS Orlando City players,Payroll in thousand U.S. dollars
Nani,2486.25
Dom Dwyer,1503.33
Sacha Kljestan,1100.0
Lamine Sane,950.0
Cristian Higuita,611.66
Oriol Rosell,522.5
Will Johnson,491.0
Jhegson,486.75
Carlos Ascues,451.5
Josue Colman,450.0
Robin Jansson,289.8
Joao Moutinho,203.0
Dillon Powers,200.0
Ruan Teixeira,160.0
Tesho Akindele,150.0
Alexander De John,146.61
Shane O'Neill,139.5
Benji Michel,116.25
Danila Acosta,110.0
Chris Mueller,109.38
Cam Lindley,98.91
Brian Rowe,98.0
Santiago Patino,76.78
Adam Grinwis,70.88
Mason Stajduhar,70.88
Gregory Ranjitsingh,70.25
Kyle Smith,70.25
Pierre Da Silva,70.25
Kamal Miller,56.25
