Year,Gross domestic product in billion U.S. dollars
2024*,158.84
2023*,144.69
2022*,131.37
2021*,119.55
2020*,109.13
2019*,98.61
2018,87.93
2017,78.69
2016,69.19
2015,64.24
2014,61.55
2013,55.13
2012,50.42
2011,41.67
2010,40.0
2009,37.02
2008,35.9
2007,31.96
2006,25.83
2005,21.0
2004,18.06
2003,16.8
2002,14.76
2001,14.54
2000,14.14
1999,14.35
1998,15.74
1997,13.74
1996,13.57
1995,11.94
1994,9.42
1993,7.87
1992,11.33
1991,11.5
1990,12.18
1989,11.71
1988,11.81
1987,11.39
1986,10.39
1985,8.75
1984,8.79
