Index rate,Unnamed: 1
Germany,100
Switzerland,98
European Union,92
United Kingdom,91
Sweden,90
Canada,85
Italy,84
Japan,81
France,81
United States,81
Finland,77
Norway,77
Netherlands,76
Australia,75
New Zealand,73
Denmark,73
Austria,72
Belgium,71
Ireland,65
Spain,64
South Korea,56
Singapore,56
Portugal,54
Poland,51
Greece,48
Russia,46
Taiwan,46
Hungary,45
Czech Republic,43
Argentina,42
Brazil,42
Malaysia,41
Slovakia,40
Thailand,40
Chile,39
Colombia,39
Turkey,37
Peru,37
South Africa,37
Mexico,37
Romania,37
Israel,36
India,36
Indonesia,36
Ukraine,35
Vietnam,34
Philippines,32
Bangladesh,29
China,28
Iran,27
