Year,Gross domestic product in billion U.S. dollars
2024*,163.21
2023*,155.26
2022*,148.62
2021*,143.42
2020*,139.57
2019*,137.59
2018*,141.65
2017,119.53
2016,109.38
2015,114.61
2014,162.7
2013,174.18
2012,174.07
2011,154.02
2010,115.4
2009,105.99
2008,147.4
2007,114.68
2006,101.56
2005,80.81
2004,59.44
2003,47.84
2002,38.14
2001,34.89
2000,37.72
1999,30.12
1998,25.94
1997,30.35
1996,31.49
1995,27.19
1994,24.8
1993,24.0
1992,19.87
1991,10.83
1990,18.29
1989,23.86
1988,19.28
1987,20.82
1986,17.38
1985,21.54
1984,21.46
