Year,Gross domestic product in billion U.S. dollars
2024*,453.73
2023*,419.83
2022*,397.35
2021*,376.54
2020*,353.0
2019*,302.26
2018,249.56
2017,236.53
2016,332.48
2015,332.08
2014,305.57
2013,288.01
2012,278.77
2011,247.73
2010,230.02
2009,198.32
2008,170.8
2007,137.06
2006,112.9
2005,94.13
2004,82.86
2003,85.16
2002,90.26
2001,102.27
2000,104.75
1999,95.04
1998,89.19
1997,79.77
1996,71.11
1995,63.26
1994,54.55
1993,49.53
1992,44.17
1991,48.43
1990,96.09
1989,115.36
1988,92.53
1987,77.36
1986,54.08
1985,48.84
1984,41.89
