State,Per capita Real GDP in chained 2012 U.S. dollars
New York,73463
Massachusetts,73321
Alaska,71996
North Dakota,69563
California,68803
Connecticut,68555
Washington,67901
Wyoming,65843
Delaware,64895
New Jersey,62385
Maryland,61042
Illinois,60419
Colorado,59885
Texas,59674
Minnesota,59510
Nebraska,59178
Hawaii,58185
United States,56968
Virginia,56002
New Hampshire,55905
Pennsylvania,55580
Iowa,54520
Kansas,53094
South Dakota,52696
Wisconsin,51883
Ohio,51790
Oregon,51677
Louisiana,50938
Rhode Island,50718
Georgia,50288
Utah,50236
Oklahoma,49840
Nevada,49361
Indiana,49209
North Carolina,47896
Tennessee,47810
Vermont,47502
Michigan,47072
Missouri,46507
New Mexico,44671
Montana,43509
Arizona,43464
Florida,43423
Maine,42925
Kentucky,41898
South Carolina,40755
Alabama,40598
Idaho,40189
West Virginia,39584
Arkansas,38919
Mississippi,34434
