Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",83.45
Information,72.82
Government and government enterprises,61.44
Manufacturing,59.03
Professional and business services,55.65
Retail trade,45.77
"Educational services, health care, and social assistance",35.38
Wholesale trade,26.47
Construction,18.87
"Arts, entertainment, recreation, accommodation, and food services",17.69
Transportation and warehousing,13.45
"Agriculture, forestry, fishing, and hunting",9.65
Utilities,3.94
"Mining, quarrying, and oil and gas extraction",0.65
