Year,Inflation rate compared to previous year
2024*,3%
2023*,3%
2022*,3%
2021*,3.7%
2020*,49.7%
2019*,161.81%
2018,10.61%
2017,0.91%
2016,-1.56%
2015,-2.41%
2014,-0.21%
2013,1.63%
2012,3.72%
2011,3.47%
2010,3.04%
2009,6.22%
2008,156.96%
2007,-72.73%
2006,32.97%
2005,-31.52%
2004,113.57%
2003,-8.57%
2002,-34.45%
2001,-37.2%
2000,4.48%
1999,-13.43%
1998,-28.02%
1997,-0.97%
1996,6.01%
1995,15.23%
1994,-2.76%
1993,0.38%
1992,-3%
1991,-13.14%
1990,1.35%
1989,-3.85%
1988,-1.06%
1987,12.79%
1986,10.67%
1985,-16.01%
1984,-1.86%
