Metropolitan Area,Real GDP in million chained (2012) U.S. dollars
"New York-Newark-Jersey City, NY-NJ-PA",1532202
"Los Angeles-Long Beach-Anaheim, CA",941064
"Chicago-Naperville-Elgin, IL-IN-WI",611591
"San Francisco-Oakland-Hayward, CA",497195
"Washington-Arlington-Alexandria, DC-VA-MD-WV",484792
"Dallas-Fort Worth-Arlington, TX",468918
"Houston-The Woodlands-Sugar Land, TX",445335
"Boston-Cambridge-Newton, MA-NH",412855
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",398674
"Atlanta-Sandy Springs-Roswell, GA",357308
"Seattle-Tacoma-Bellevue, WA",355662
"San Jose-Sunnyvale-Santa Clara, CA",318998
"Miami-Fort Lauderdale-West Palm Beach, FL",315031
"Detroit-Warren-Dearborn, MI",238679
"Minneapolis-St. Paul-Bloomington, MN-WI",237140
"Phoenix-Mesa-Scottsdale, AZ",227741
"San Diego-Chula Vista-Carlsbad, CA",219361
"Denver-Aurora-Lakewood, CO",193965
"Baltimore-Columbia-Towson, MD",183093
"Riverside-San Bernardino-Ontario, CA",164892
"St. Louis, MO-IL",152060
"Portland-Vancouver-Hillsboro, OR-WA",150033
"Charlotte-Concord-Gastonia, NC-SC",146813
"Tampa-St. Petersburg-Clearwater, FL",141904
"Pittsburgh, PA",138410
"Austin-Round Rock-Georgetown, TX",134416
"Sacramento-Roseville-Folsom, CA",128649
"Cincinnati, OH-KY-IN",124948
"Indianapolis-Carmel-Anderson, IN",124667
"Orlando-Kissimmee-Sanford, FL",124173
"San Antonio-New Braunfels, TX",121139
"Kansas City, MO-KS",120352
"Cleveland-Elyria, OH",119327
"Nashville-Davidson--Murfreesboro--Franklin, TN",117839
"Columbus, OH",114675
"Las Vegas-Henderson-Paradise, NV",107622
"Milwaukee-Waukesha-West Allis, WI",92558
"Virginia Beach-Norfolk-Newport News, VA-NC",89775
"Hartford-East Hartford-Middletown, CT",89529
"Salt Lake City, UT",82431
"Oklahoma City, OK",79667
"Bridgeport-Stamford-Norwalk, CT",77951
"Providence-Warwick, RI-MA",77516
"Raleigh-Cary, NC",76127
"Richmond, VA",75517
"New Orleans-Metairie, LA",74217
"Jacksonville, FL",73723
"Memphis, TN-MS-AR",67981
"Louisville/Jefferson County, KY-IN",64061
"Urban Honolulu, HI",61095
"Buffalo-Cheektowaga-Niagara Falls, NY",60321
"Rochester, NY",56811
"Omaha-Council Bluffs, NE-IA",56187
"Birmingham-Hoover, AL",55910
"Grand Rapids-Kentwood, MI",55253
"Tulsa, OK",53448
"Oxnard-Thousand Oaks-Ventura, CA",53439
"Albany-Schenectady-Troy, NY",52367
"Baton Rouge, LA",51501
"Bakersfield, CA",49864
"Durham-Chapel Hill, NC",48385
"New Haven-Milford, CT",48060
"Madison, WI",46529
"Worcester, MA-CT",45393
"Des Moines-West Des Moines, IA",44481
"Fresno, CA",43436
"Greenville-Anderson-Mauldin, SC",41116
"Allentown-Bethlehem-Easton, PA-NJ",40511
"Tucson, AZ",40011
"Knoxville, TN",38756
"Dayton, OH",38696
"Albuquerque, NM",38444
"Columbia, SC",38443
"Greensboro-High Point, NC",38301
"Charleston-North Charleston, SC",37696
"Syracuse, NY",36718
"Harrisburg-Carlisle, PA",35907
"Midland, TX",35002
"Toledo, OH",34845
"Little Rock-North Little Rock-Conway, AR",34579
"Colorado Springs, CO",34207
"Akron, OH",32912
"Wichita, KS",32832
"Boise City, ID",31127
"Springfield, MA",30643
"North Port-Sarasota-Bradenton, FL",30413
"Winston-Salem, NC",29528
"Stockton-Lodi, CA",29257
"El Paso, TX",29123
"Santa Rosa-Petaluma, CA",28565
"Trenton, NJ",28459
"Portland-South Portland, ME",28249
"Beaumont-Port Arthur, TX",28227
"Poughkeepsie-Newburgh-Middletown, NY",27992
"Santa Maria-Santa Barbara, CA",27855
"Chattanooga, TN-GA",27374
"Cape Coral-Fort Myers, FL",27046
"Lancaster, PA",26442
"Lexington-Fayette, KY",26125
"Scranton--Wilkes-Barre, PA",26081
