Month,Payroll in thousand U.S. dollars
Bradley Wright-Phillips,1380.0
Kaku,800.0
Aaron Long,800.0
Daniel Royer,768.75
Tim Parker,752.2
Luis Robles,490.0
Kemar Lawrence,382.75
Marc Rzatkowski,341.67
Andreas Ivan,330.6
Sean Davis,327.5
Mathias Jorgensen,306.25
Amro Tarek,156.25
Ryan Meara,137.0
Connor Lade,132.75
Alex Muyl,127.75
Cristian Casseres,118.75
Michael Murillo,113.75
Omir Fernandez,95.0
Derrick Etienne,82.06
Jean-Christophe Koffi,76.03
Marcus Epps,74.54
Florian Valot,74.51
Vincent Bezecourt,73.3
Evan Louro,70.25
Ben Mines,63.24
Brian White,57.23
Kyle Duncan,57.23
Sean Nealis,56.25
Tom Barlow,56.25
