Insurers,Total assets in billion U.S. dollars
Prudential Financial,577.91
"MetLife, Inc.",409.62
New York Life,324.78
TIAA-CREF,316.04
American International Group,285.0
Northwestern Mutual,272.27
Lincoln Financial,255.64
Massachusetts Mutual,254.87
Manulife Financial,247.57
Jackson National,236.99
Transamerica Corporation,201.2
AXA Financial,194.99
Voya Financial,189.37
Principal Financial,185.01
Brighthouse Holdings Group,179.3
Nationwide,170.47
Allianz,145.15
Pacific Life,135.58
Hopmeadow Holdings Group,117.91
Ameriprise Financial,104.11
Thrivent Financial For Lutherans,94.23
Sammons Financial,85.25
Athene Group,83.78
State Farm,78.03
Guardian,75.59
