Quarter,Revenue in million U.S. dollars
Q1 2010,587.87
Q2 2010,589.59
Q3 2010,554.33
Q4 2010,661.68
Q1 2011,500.66
Q2 2011,511.99
Q3 2011,451.57
Q4 2011,547.4
Q1 2012,475.43
Q2 2012,489.8
Q3 2012,355.34
Q4 2012,468.11
Q1 2013*,380.68
Q2 2013*,390.96
Q3 2013,361.74
Q4 2013,443.86
Q1 2014*,390.41
Q2 2014*,388.72
Q3 2014,364.72
Q4 2014,444.68
Q1 2015,384.24
Q2 2015,382.89
Q3 2015,367.4
Q4 2015,444.69
Q1 2016,379.52
Q2 2016,372.63
Q3 2016,363.55
Q4 2016,439.65
Q1 2017,398.8
Q2 2017,407.07
Q3 2017,385.64
Q4 2017,484.13
Q1 2018,413.95
Q2 2018,414.56
Q3 2018,417.35
Q4 2018,502.74
Q1 2019,439.06
Q2 2019,436.26
Q3 2019,428.5
Q4 2019,508.36
