Year,Gross domestic product in billion U.S. dollars
2024*,499.31
2023*,456.22
2022*,416.84
2021*,380.86
2020*,347.99
2019*,317.47
2018,288.42
2017,262.08
2016,235.62
2015,208.32
2014,184.01
2013,161.3
2012,141.71
2011,131.08
2010,122.04
2009,108.9
2008,97.06
2007,85.6
2006,75.77
2005,70.92
2004,68.59
2003,63.2
2002,57.5
2001,54.76
2000,54.59
1999,53.98
1998,51.93
1997,50.34
1996,48.17
1995,45.92
1994,41.54
1993,38.23
1992,36.48
1991,36.47
1990,35.38
1989,34.05
1988,30.9
1987,28.63
1986,25.95
1985,24.76
1984,24.06
