Year,GDP in billion U.S. dollars
2024*,3214.61
2023*,3093.66
2022*,2983.8
2021*,2876.23
2020*,2771.62
2019*,2707.07
2018,2780.15
2017,2591.78
2016,2472.28
2015,2439.44
2014,2856.7
2013,2811.96
2012,2685.31
2011,2864.03
2010,2647.54
2009,2697.04
2008,2932.22
2007,2660.9
2006,2320.53
2005,2199.68
2004,2117.96
2003,1843.65
2002,1498.91
2001,1377.41
2000,1365.97
1999,1494.57
1998,1505.18
1997,1454.56
1996,1606.04
1995,1602.13
1994,1396.65
1993,1324.24
1992,1404.39
1991,1273.59
1990,1272.43
1989,1026.18
1988,1020.88
1987,935.12
1986,772.84
1985,557.56
1984,532.34
