State,Age in years
Alabama,39.3
Alaska,34.9
Arizona,38.0
Arkansas,38.1
California,36.7
Colorado,36.9
Connecticut,41.1
Delaware,41.1
District of Columbia,33.9
Florida,42.2
Georgia,36.8
Hawaii,39.3
Idaho,36.8
Illinois,38.3
Indiana,37.8
Iowa,38.1
Kansas,37.1
Kentucky,39.1
Louisiana,37.3
Maine,45.1
Maryland,38.8
Massachusetts,39.5
Michigan,39.8
Minnesota,38.2
Mississippi,37.7
Missouri,38.8
Montana,40.1
Nebraska,36.7
Nevada,38.2
New Hampshire,43.1
New Jersey,40.0
New Mexico,38.1
New York,39.0
North Carolina,38.9
North Dakota,35.4
Ohio,39.5
Oklahoma,36.7
Oregon,39.6
Pennsylvania,40.8
Puerto Rico,42.9
Rhode Island,40.0
South Carolina,39.7
South Dakota,37.2
Tennessee,38.9
Texas,34.9
Utah,31.0
Vermont,43.1
Virginia,38.3
Washington,37.7
West Virginia,42.8
Wisconsin,39.6
Wyoming,38.5
