Year,GDP per capita in U.S. dollars
2024*,10606.46
2023*,10167.44
2022*,9738.0
2021*,9344.11
2020*,8955.65
2019*,8796.91
2018*,8958.58
2017*,9926.29
2016,8751.18
2015,8845.67
2014,12175.96
2013,12357.57
2012,12426.69
2011,13295.72
2010,11327.46
2009,8641.66
2008,8873.19
2007,7385.33
2006,5914.46
2005,4814.67
2004,3655.33
2003,3086.09
2002,2853.57
2001,3177.83
2000,3771.94
1999,3502.75
1998,5128.34
1997,5323.82
1996,5200.11
1995,4950.66
1994,3494.0
1993,2786.18
1992,2522.84
1991,2676.89
1990,3105.01
1989,3086.83
1988,2288.61
1987,2086.7
1986,1954.38
1985,1718.9
1984,1105.46
