Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",64.12
Professional and business services,51.64
Government and government enterprises,38.29
Manufacturing,24.58
"Educational services, health care, and social assistance",24.3
Information,21.97
"Mining, quarrying, and oil and gas extraction",19.43
Wholesale trade,19.07
Retail trade,18.55
Construction,16.51
"Arts, entertainment, recreation, accommodation, and food services",15.94
Transportation and warehousing,12.35
Other services (except government and government enterprises),7.04
Utilities,3.57
"Agriculture, forestry, fishing, and hunting",3.05
