Year,Gross domestic product in billion U.S. dollars
2024*,345.16
2023*,322.86
2022*,301.67
2021*,281.06
2020*,261.87
2019*,243.7
2018,239.55
2017,211.41
2016,188.5
2015,177.9
2014,199.63
2013,190.95
2012,171.2
2011,183.44
2010,166.23
2009,174.1
2008,214.32
2007,174.59
2006,123.53
2005,99.7
2004,76.22
2003,59.87
2002,46.17
2001,40.72
2000,37.47
1999,36.18
1998,42.82
1997,35.87
1996,35.92
1995,36.07
1994,30.57
1993,26.8
1992,19.91
1991,29.26
1990,38.76
1989,54.58
1988,60.93
1987,58.85
1986,52.63
1985,48.6
1984,39.36
