Month,Price in GBP per kilogram
Oct '19,1.27
Sep '19,1.34
Aug '19,1.25
Jul '19,1.6
Jun '19,1.45
May '19,1.23
Apr '19,1.48
Mar '19,2.15
Oct '18,1.19
Sep '18,1.38
Aug '18,1.32
Jul '18,1.35
Jun '18,1.38
May '18,1.81
Apr '18,2.35
Mar '18,2.51
Oct '17,1.34
Sep '17,1.21
Aug '17,1.25
Jul '17,1.22
Jun '17,1.15
May '17,1.15
Apr '17,1.2
Mar '17,1.65
Oct '16,1.46
Sep '16,1.3
Aug '16,1.34
Jul '16,1.12
Jun '16,1.06
May '16,1.29
Apr '16,1.81
Mar '16,4.01
Oct '15,1.21
Sep '15,1.2
Aug '15,1.24
Jul '15,1.12
Jun '15,1.19
May '15,1.32
Apr '15,1.99
Mar '15,2.68
