Month,Assets under management in billion U.S. dollars
Bridgewater Associates,162.9
AQR Capital Management,113.8
Man Grop,78.5
Renaissance Technologies,60.1
J.P. Morgan Asset Management,53.5
Two Sigma Investments,38.8
Marshall Wace,35.4
Millennium Management,35.0
Elliott Management,34.8
Adage Capital Management,32.4
Citadel Advisors,31.7
D.E. Shaw & Co.,31.2
BlackRock Alternative Investors,31.1
Baupost Group,31.0
Davidson Kempner Capital Management,29.8
H2O Asset Management,27.4
Wellington Asset Management,27.0
Canyon Partners,25.1
Farallon Capital Management,25.1
Viking Global Investors,25.0
