Vegetable,Amount in million metric tons
Tomatoes,182.3
"Onions, dry",97.86
Cucumbers and gherkins,83.75
Cabbages and other brassicas,71.45
Eggplants (aubergines),52.31
Carrots and turnips,42.83
"Chillies and peppers, green",36.1
Garlic,28.16
Spinach,27.88
"Pumpkins, squash and gourds",27.44
Lettuce and chicory,26.86
Cauliflowers and broccoli,26.0
"Beans, green",24.22
"Peas, green",20.7
"Maize, green",11.73
Mushrooms and truffles,10.24
Okra,9.64
Asparagus,8.95
"Onions, shallots, green",5.13
Cassava leaves,2.35
"Leeks, other alliaceous vegetables",2.17
String beans,1.87
"Vegetables, leguminous nes",1.51
Artichokes,1.5
